committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00227546,MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,2017,M7,201707199066799485,23,F1FAF6C0BD46F8DFDAC,1173068,PTY,POLITICAL PARTY COMMITTEE,C00008664,C00008664,MISSOURI REPUBLICAN STATE COMMITTEE-FEDERAL,MO,MISSOURI REPUBLICAN STATE COMMITTEE-FEDERAL,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 10/31/16 CONTRIBUTION,,,2017-06-30 00:00:00,-5000.00,,,,,,,,,,,,,P2016,CONTRIBUTION,PRIMARY,2016,A,ADD,ITEMIZED DISBURSEMENTS,2017-07-21 01:56:35.917,,,,0.00,,,,011,Political Contributions,,,,,,,F3X,4071920171423598441,JEFFERSON CITY,651013276,CONTRIBUTIONS,,2018,SB,4072020171426296809,http://docquery.fec.gov/cgi-bin/fecimg/?201707199066799485,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00227546,MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,2017,M10,201710209075855719,29,0A03A09438A20B1F45B,1188842,COM,OTHER COMMITTEE,,,JOHN BEL EDWARDS CAMPAIGN,LA,,,,,UNCASHED 8/21/17 CONTRIBUTION,,,2017-09-30 00:00:00,-5000.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2017-10-21 01:51:59.49,,,,0.00,,,,011,Political Contributions,,,,,,,F3X,4102020171458743604,PONCHATOULA,70454,OTHER,,2018,SB,4102020171458777542,http://docquery.fec.gov/cgi-bin/fecimg/?201710209075855719,Other Disbursements,,,,,,
C00227546,MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,2018,M3,201803199096597275,23,5885F202747AF65BBA4,1214687,CCM,CAMPAIGN COMMITTEE,C00475145,C00475145,MARINO FOR CONGRESS,PA,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 7/20/17 CONTRIBUTION,,,2018-02-28 00:00:00,-2500.00,H,HOUSE,10,H0PA10078,"MARINO, THOMAS ANTHONY",THOMAS,MARINO,ANTHONY,,,PA,PENNSYLVANIA,P2018,,PRIMARY,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-03-20 01:36:40.982,,,,0.00,,,,011,Political Contributions,,,,,,,F3X,4031920181518971524,WILLIAMSPORT,17703,CONTRIBUTIONS,,2018,SB,4031920181519011975,http://docquery.fec.gov/cgi-bin/fecimg/?201803199096597275,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00227546,MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,2017,M6,201706199061015224,23,F1CB1929DB57E795F76,1166502,COM,OTHER COMMITTEE,C00577189,C00577189,DUCKWORTH VICTORY FUND,MA,DUCKWORTH VICTORY FUND,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 12/9/16 CONTRIBUTION,,,2017-05-31 00:00:00,-2500.00,,,,,,,,,,,,,P2016,CONTRIBUTION,PRIMARY,2016,A,ADD,ITEMIZED DISBURSEMENTS,2017-06-20 03:21:44.137,,,,0.00,,,,011,Political Contributions,,,,,,,F3X,4061920171410147077,FOXBORO,20235,CONTRIBUTIONS,,2018,SB,4061920171410186049,http://docquery.fec.gov/cgi-bin/fecimg/?201706199061015224,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00227546,MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,2017,M12,201712199089255240,29,005D61E98ED2D58A712,1194554,COM,OTHER COMMITTEE,,,CITIZENS FOR DURKIN,IL,,,,,UNCASHED 8/31/17 CONTRIBUTION,,,2017-11-27 00:00:00,-2500.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2017-12-21 01:51:35.015,,,,0.00,,,,011,Political Contributions,,,,,,,F3X,4121920171489093638,BURR RIDGE,60527,OTHER,,2018,SB,4122020171489212330,http://docquery.fec.gov/cgi-bin/fecimg/?201712199089255240,Other Disbursements,,,,,,
C00227546,MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,2017,YE,201801249090606151,23,18AF8E3E8CA9743E286,1199603,CCM,CAMPAIGN COMMITTEE,C00301838,C00301838,STEVE CHABOT FOR CONGRESS,OH,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 9/25/17 CONTRIBUTION,,,2017-12-19 00:00:00,-2000.00,H,HOUSE,01,H8OH01043,"CHABOT, STEVEN JOSEPH",STEVEN,CHABOT,JOSEPH,,,OH,OHIO,P2018,,PRIMARY,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-01-25 01:54:58.807,,,,0.00,,,,011,Political Contributions,,,,,,,F3X,4012420181503101804,CINCINNATI,45211,CONTRIBUTIONS,,2018,SB,4012420181503167322,http://docquery.fec.gov/cgi-bin/fecimg/?201801249090606151,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00227546,MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,2017,M7,201707199066799486,23,816B7154BAD53EA084B,1173068,CCM,CAMPAIGN COMMITTEE,C00466870,C00466870,PAT MEEHAN FOR CONGRESS,PA,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 9/30/16 CONTRIBUTION,,,2017-06-30 00:00:00,-2000.00,H,HOUSE,07,H0PA07082,"MEEHAN, PATRICK L.",PATRICK,MEEHAN,L.,,,PA,PENNSYLVANIA,G2016,,GENERAL,2016,A,ADD,ITEMIZED DISBURSEMENTS,2017-07-21 01:56:45.228,,,,0.00,,,,011,Political Contributions,,,,,,,F3X,4071920171423598441,MEDIA,190633531,CONTRIBUTIONS,,2018,SB,4072020171426296817,http://docquery.fec.gov/cgi-bin/fecimg/?201707199066799486,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00227546,MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,2017,M7,201707199066799492,29,08D01D42EF2E3D713B6,1173068,COM,OTHER COMMITTEE,,,FRIENDS OF TAG GREASON,VA,,,,,UNCASHED 8/1/16 CONTRIBUTION,,,2017-06-30 00:00:00,-1500.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2017-07-21 01:56:30.97,,,,0.00,,,,011,Political Contributions,,,,,,,F3X,4071920171423598441,ASHBURN,20147,OTHER,,2018,SB,4072020171426296852,http://docquery.fec.gov/cgi-bin/fecimg/?201707199066799492,Other Disbursements,,,,,,
C00227546,MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,2017,YE,201801249090606157,29,3A4DDEB7C59AF135EB5,1199603,COM,OTHER COMMITTEE,,,BO WATSON COMMITEE,TN,,,,,UNCASED 7/7/17 CONTRIBUTION,,,2017-12-31 00:00:00,-1000.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2018-01-25 01:55:09.269,,,,0.00,,,,011,Political Contributions,,,,,,,F3X,4012420181503101804,HIXSON,37343,OTHER,,2018,SB,4012420181503167356,http://docquery.fec.gov/cgi-bin/fecimg/?201801249090606157,Other Disbursements,,,,,,
C00227546,MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,2017,YE,201801249090606157,29,70F9EBA447B8ECEF967,1199603,COM,OTHER COMMITTEE,,,BYRON COOK CAMPAIGN,TX,,,,,UNCASHED 10/23/2017 CONTRIBUTION,,,2017-12-07 00:00:00,-1000.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2018-01-25 01:54:44.845,,,,0.00,,,,011,Political Contributions,,,,,,,F3X,4012420181503101804,CORSICANA,75151,OTHER,,2018,SB,4012420181503167358,http://docquery.fec.gov/cgi-bin/fecimg/?201801249090606157,Other Disbursements,,,,,,
